status	src	dst
copied	docs/case_studies/cross_runs/contrasts/contrast_01_inputs/cohort_manifest.tsv	docs/case_studies/cross_runs/contrasts/contrast_01_analysis_bundle/cohort_manifest.tsv
copied	docs/case_studies/cross_runs/contrasts/contrast_01_inputs/contrast_01_input_build_audit.tsv	docs/case_studies/cross_runs/contrasts/contrast_01_analysis_bundle/contrast_01_input_build_audit.tsv
copied	docs/case_studies/cross_runs/contrasts/contrast_01_inputs/README.md	docs/case_studies/cross_runs/contrasts/contrast_01_analysis_bundle/README.md
copied	docs/case_studies/cross_runs/contrasts/contrast_01_inputs/ERR10619203/tables/stage_funnel_summary.tsv	docs/case_studies/cross_runs/contrasts/contrast_01_analysis_bundle/ERR10619203/tables/stage_funnel_summary.tsv
copied	docs/case_studies/cross_runs/contrasts/contrast_01_inputs/ERR10619203/tables/priority_tier_summary.tsv	docs/case_studies/cross_runs/contrasts/contrast_01_analysis_bundle/ERR10619203/tables/priority_tier_summary.tsv
copied	docs/case_studies/cross_runs/contrasts/contrast_01_inputs/ERR10619203/tables/interpretation_label_summary.tsv	docs/case_studies/cross_runs/contrasts/contrast_01_analysis_bundle/ERR10619203/tables/interpretation_label_summary.tsv
copied	docs/case_studies/cross_runs/contrasts/contrast_01_inputs/ERR10619203/figures/ERR10619203_f3a_deterministic_evidence_lineage.png	docs/case_studies/cross_runs/contrasts/contrast_01_analysis_bundle/ERR10619203/figures/ERR10619203_f3a_deterministic_evidence_lineage.png
copied	docs/case_studies/cross_runs/contrasts/contrast_01_inputs/ERR10619203/figures/ERR10619203_f3b_semantic_branching.png	docs/case_studies/cross_runs/contrasts/contrast_01_analysis_bundle/ERR10619203/figures/ERR10619203_f3b_semantic_branching.png
copied	docs/case_studies/cross_runs/contrasts/contrast_01_inputs/ERR10619203/sql_outputs/lane_candidate_slices/ERR10619203_bucket_1a_validation_routed_epilepsy_mito.tsv	docs/case_studies/cross_runs/contrasts/contrast_01_analysis_bundle/ERR10619203/sql_outputs/lane_candidate_slices/ERR10619203_bucket_1a_validation_routed_epilepsy_mito.tsv
copied	docs/case_studies/cross_runs/contrasts/contrast_01_inputs/ERR10619203/sql_outputs/lane_candidate_slices/ERR10619203_bucket_1b_clinically_contextualized_epilepsy_mito.tsv	docs/case_studies/cross_runs/contrasts/contrast_01_analysis_bundle/ERR10619203/sql_outputs/lane_candidate_slices/ERR10619203_bucket_1b_clinically_contextualized_epilepsy_mito.tsv
copied	docs/case_studies/cross_runs/contrasts/contrast_01_inputs/ERR10619203/sql_outputs/lane_candidate_slices/ERR10619203_bucket_2a_rare_impact_coding_triage_summary.tsv	docs/case_studies/cross_runs/contrasts/contrast_01_analysis_bundle/ERR10619203/sql_outputs/lane_candidate_slices/ERR10619203_bucket_2a_rare_impact_coding_triage_summary.tsv
copied	docs/case_studies/cross_runs/contrasts/contrast_01_inputs/ERR10619203/sql_outputs/lane_candidate_slices/ERR10619203_bucket_2b_rare_impact_tier2.tsv	docs/case_studies/cross_runs/contrasts/contrast_01_analysis_bundle/ERR10619203/sql_outputs/lane_candidate_slices/ERR10619203_bucket_2b_rare_impact_tier2.tsv
copied	docs/case_studies/cross_runs/contrasts/contrast_01_inputs/ERR10619203/sql_outputs/lane_candidate_slices/ERR10619203_bucket_2c_rare_impact_deprioritized.tsv	docs/case_studies/cross_runs/contrasts/contrast_01_analysis_bundle/ERR10619203/sql_outputs/lane_candidate_slices/ERR10619203_bucket_2c_rare_impact_deprioritized.tsv
copied	docs/case_studies/cross_runs/contrasts/contrast_01_inputs/ERR10619203/sql_outputs/value_counts/value_counts__priority_tier.tsv	docs/case_studies/cross_runs/contrasts/contrast_01_analysis_bundle/ERR10619203/sql_outputs/value_counts/value_counts__priority_tier.tsv
