sample_id	run_id	assay_type	run_classification	assay_metadata_status	run_notes	raw_variant_count	normalized_variant_count	annotated_variant_count	stage08_total_variants	coding_candidates	noncoding_candidates	splice_region_candidates	qc_flagged	stage09_coding_interpreted	stage10_noncoding_interpreted	stage11_prioritized_rows	stage12_validation_rows	rdgp_gene_evidence_seed_rows	unique_gene_ids
ERR10619281	run_2026_05_14_083044	WGS	saudi_metadata_drift_detection	incorrect_wgs_label_for_wes	Saudi WES run with full telemetry that exposed assay-type metadata drift.	813543	813543	811554	811554	25288	783685	3128	12837	27869	783685	811554	811554	43015	43016
ERR10619281	run_2026_05_14_231247	WES	saudi_metadata_patch_rerun	corrected_wes_label	Saudi WES rerun after assay-aware provenance patch.	813543	813543	811554	811554	25288	783685	3128	12837	27869	783685	811554	811554	43015	43016
ERR10619300	run_2026_05_14_164444	WES	saudi_same_patch_baseline	corrected_wes_label	First corrected ERR10619300 post-patch run.	738619	738619	736468	736468	24041	710029	2891	12074	26439	710029	736468	736468	41953	41954
ERR10619300	run_2026_05_15_063040	WES	saudi_same_patch_rerun	corrected_wes_label	Same-patch ERR10619300 reproducibility rerun.	738619	738619	736468	736468	24041	710029	2891	12074	26439	710029	736468	736468	41953	41954
HG002	run_2026_04_17_082417	WGS	legacy_semitelemetry_checkpoint_run	pre_assay_metadata_contract	HG002 legacy MARK execution: stages 01-06 ran as an early continuous pipeline, while stages 07-13 were progressively checkpoint-completed during VAP development after VEP environment repair. Git/config provenance spans multiple commits/config states.	4662494	4662494	4636584	4636584	24278	4609098	3733	44460	27486	4609098	4636584	4636584	50230	50231
HG002	run_2026_05_13_060859	WGS	hg002_full_telemetry	pre_assay_metadata_contract	HG002 telemetry-enabled rerun before explicit WGS/WES assay-type semantic enforcement.	4662494	4662494	4636584	4636584	24278	4609098	3733	44460	27486	4609098	4636584	4636584	50230	50231
ERR10619330	run_2026_06_01_203130	WES	saudi_epilepsy_patient_35_of_144_q1_depth	full_telemetry_metric_emissions_figures_duckdb_slices	Saudi epilepsy cross-run cohort analysis (1 of 12) fully equipped with telemetry, metric sidecar emissions, auto-rendered figures and tables, and targeted stage12 duckdb sql harvests.	966283	966283	963426	963426	24563	936295	3058	14443	27131	936295	963426	963426	44020	44021
ERR10619309	run_2026_06_02_181024	WES	saudi_epilepsy_patient_36_of_144_q1_depth	full_telemetry_metric_emissions_figures_duckdb_slices	Saudi epilepsy cross-run cohort analysis (2 of 12) fully equipped with telemetry, metric sidecar emissions, auto-rendered figures and tables, and targeted stage12 duckdb sql harvests.	881937	881937	879401	879401	23953	852953	2981	13609	26448	852953	879401	879401	43429	43430
ERR10619212	run_2026_05_30_214724	WES	saudi_epilepsy_patient_37_of_144_q1_depth	full_telemetry_metric_emissions_figures_duckdb_slices	Saudi epilepsy cross-run cohort analysis (3 of 12) fully equipped with telemetry, metric sidecar emissions, auto-rendered figures and tables, and targeted stage12 duckdb sql harvests.	907952	907952	905517	905517	24592	878368	3098	14634	27149	878368	905517	905517	43334	43335
ERR10619241	run_2026_06_02_052302	WES	saudi_epilepsy_patient_38_of_144_q1_depth	full_telemetry_metric_emissions_figures_duckdb_slices	Saudi epilepsy cross-run cohort analysis (4 of 12) fully equipped with telemetry, metric sidecar emissions, auto-rendered figures and tables, and targeted stage12 duckdb sql harvests.	912222	912222	909698	909698	23648	883594	2951	14125	26104	883594	909698	909698	43400	43401
ERR10619208	run_2026_05_30_151355	WES	saudi_epilepsy_patient_71_of_144_median_depth	full_telemetry_metric_emissions_figures_duckdb_slices	Saudi epilepsy cross-run cohort analysis (5 of 12) fully equipped with telemetry, metric sidecar emissions, auto-rendered figures and tables, and targeted stage12 duckdb sql harvests.	851833	851833	849399	849399	25497	821358	3084	14021	28041	821358	849399	849399	43179	43180
ERR10619285	run_2026_06_02_124300	WES	saudi_epilepsy_patient_72_of_144_median_depth	full_telemetry_metric_emissions_figures_duckdb_slices	Saudi epilepsy cross-run cohort analysis (6 of 12) fully equipped with telemetry, metric sidecar emissions, auto-rendered figures and tables, and targeted stage12 duckdb sql harvests.	797375	797375	795059	795059	24437	768137	3003	12615	26922	768137	795059	795059	42738	42739
