SRA	run_id	depth_category	artifact_group	artifact_name	source_path	destination_path	operation	status	rows_written	notes
ERR10619203	run_2026_05_30_071639	q3	directory	tables		docs/case_studies/cross_runs/contrasts/contrast_06_inputs/ERR10619203/tables	mkdir	ok	NA	directory ensured
ERR10619203	run_2026_05_30_071639	q3	directory	targeted_semantic_buckets		docs/case_studies/cross_runs/contrasts/contrast_06_inputs/ERR10619203/sql_outputs/targeted_semantic_buckets	mkdir	ok	NA	directory ensured
ERR10619203	run_2026_05_30_071639	q3	directory	unique_genes		docs/case_studies/cross_runs/contrasts/contrast_06_inputs/ERR10619203/sql_outputs/unique_genes	mkdir	ok	NA	directory ensured
ERR10619203	run_2026_05_30_071639	q3	table	candidate_reviewability_readiness.tsv	docs/case_studies/cross_runs/cross_run_tables/candidate_reviewability_readiness.tsv	docs/case_studies/cross_runs/contrasts/contrast_06_inputs/ERR10619203/tables/candidate_reviewability_readiness.tsv	subset	ok	7	subset by exact run_id
ERR10619203	run_2026_05_30_071639	q3	table	priority_tier_summary.tsv	docs/case_studies/cross_runs/cross_run_tables/priority_tier_summary.tsv	docs/case_studies/cross_runs/contrasts/contrast_06_inputs/ERR10619203/tables/priority_tier_summary.tsv	subset	ok	4	subset by exact run_id
ERR10619203	run_2026_05_30_071639	q3	table	substrate_dimension_summary.tsv	docs/case_studies/cross_runs/cross_run_tables/substrate_dimension_summary.tsv	docs/case_studies/cross_runs/contrasts/contrast_06_inputs/ERR10619203/tables/substrate_dimension_summary.tsv	subset	ok	1	subset by exact run_id
ERR10619203	run_2026_05_30_071639	q3	targeted_semantic_buckets	ERR10619203_bucket_1a_validation_routed_epilepsy_mito.tsv	results/run_2026_05_30_071639/logs/stage12_exploration/lane_candidate_slices/ERR10619203_bucket_1a_validation_routed_epilepsy_mito.tsv	docs/case_studies/cross_runs/contrasts/contrast_06_inputs/ERR10619203/sql_outputs/targeted_semantic_buckets/ERR10619203_bucket_1a_validation_routed_epilepsy_mito.tsv	copy	ok	1	copied without renaming or content modification
ERR10619203	run_2026_05_30_071639	q3	targeted_semantic_buckets	ERR10619203_bucket_1b_clinically_contextualized_epilepsy_mito.tsv	results/run_2026_05_30_071639/logs/stage12_exploration/lane_candidate_slices/ERR10619203_bucket_1b_clinically_contextualized_epilepsy_mito.tsv	docs/case_studies/cross_runs/contrasts/contrast_06_inputs/ERR10619203/sql_outputs/targeted_semantic_buckets/ERR10619203_bucket_1b_clinically_contextualized_epilepsy_mito.tsv	copy	ok	4	copied without renaming or content modification
ERR10619203	run_2026_05_30_071639	q3	targeted_semantic_buckets	ERR10619203_bucket_2a_rare_impact_coding_triage_summary.tsv	results/run_2026_05_30_071639/logs/stage12_exploration/lane_candidate_slices/ERR10619203_bucket_2a_rare_impact_coding_triage_summary.tsv	docs/case_studies/cross_runs/contrasts/contrast_06_inputs/ERR10619203/sql_outputs/targeted_semantic_buckets/ERR10619203_bucket_2a_rare_impact_coding_triage_summary.tsv	copy	ok	9	copied without renaming or content modification
ERR10619203	run_2026_05_30_071639	q3	targeted_semantic_buckets	ERR10619203_bucket_2b_rare_impact_tier2.tsv	results/run_2026_05_30_071639/logs/stage12_exploration/lane_candidate_slices/ERR10619203_bucket_2b_rare_impact_tier2.tsv	docs/case_studies/cross_runs/contrasts/contrast_06_inputs/ERR10619203/sql_outputs/targeted_semantic_buckets/ERR10619203_bucket_2b_rare_impact_tier2.tsv	copy	ok	15	copied without renaming or content modification
ERR10619203	run_2026_05_30_071639	q3	targeted_semantic_buckets	ERR10619203_bucket_2c_rare_impact_deprioritized.tsv	results/run_2026_05_30_071639/logs/stage12_exploration/lane_candidate_slices/ERR10619203_bucket_2c_rare_impact_deprioritized.tsv	docs/case_studies/cross_runs/contrasts/contrast_06_inputs/ERR10619203/sql_outputs/targeted_semantic_buckets/ERR10619203_bucket_2c_rare_impact_deprioritized.tsv	copy	ok	15	copied without renaming or content modification
ERR10619203	run_2026_05_30_071639	q3	targeted_semantic_buckets	ERR10619203_bucket_3a_clinvar_supported_deprioritized.tsv	results/run_2026_05_30_071639/logs/stage12_exploration/lane_candidate_slices/ERR10619203_bucket_3a_clinvar_supported_deprioritized.tsv	docs/case_studies/cross_runs/contrasts/contrast_06_inputs/ERR10619203/sql_outputs/targeted_semantic_buckets/ERR10619203_bucket_3a_clinvar_supported_deprioritized.tsv	copy	ok	15	copied without renaming or content modification
ERR10619203	run_2026_05_30_071639	q3	targeted_semantic_buckets	ERR10619203_bucket_3b_tier3_background_summary.tsv	results/run_2026_05_30_071639/logs/stage12_exploration/lane_candidate_slices/ERR10619203_bucket_3b_tier3_background_summary.tsv	docs/case_studies/cross_runs/contrasts/contrast_06_inputs/ERR10619203/sql_outputs/targeted_semantic_buckets/ERR10619203_bucket_3b_tier3_background_summary.tsv	copy	ok	25	copied without renaming or content modification
ERR10619203	run_2026_05_30_071639	q3	targeted_semantic_buckets	ERR10619203_bucket_4a_representative_noncoding_semantic_exemplars.tsv	results/run_2026_05_30_071639/logs/stage12_exploration/lane_candidate_slices/ERR10619203_bucket_4a_representative_noncoding_semantic_exemplars.tsv	docs/case_studies/cross_runs/contrasts/contrast_06_inputs/ERR10619203/sql_outputs/targeted_semantic_buckets/ERR10619203_bucket_4a_representative_noncoding_semantic_exemplars.tsv	copy	ok	15	copied without renaming or content modification
ERR10619203	run_2026_05_30_071639	q3	unique_genes	ERR10619203_tier1_unique_genes.tsv	results/run_2026_05_30_071639/logs/stage12_exploration/unique_genes/ERR10619203_tier1_unique_genes.tsv	docs/case_studies/cross_runs/contrasts/contrast_06_inputs/ERR10619203/sql_outputs/unique_genes/ERR10619203_tier1_unique_genes.tsv	copy	ok	2	copied without renaming or content modification
ERR10619203	run_2026_05_30_071639	q3	unique_genes	ERR10619203_tier1_unique_genes_mito_epi_overlay.tsv	results/run_2026_05_30_071639/logs/stage12_exploration/unique_genes/ERR10619203_tier1_unique_genes_mito_epi_overlay.tsv	docs/case_studies/cross_runs/contrasts/contrast_06_inputs/ERR10619203/sql_outputs/unique_genes/ERR10619203_tier1_unique_genes_mito_epi_overlay.tsv	copy	ok	1	copied without renaming or content modification
ERR10619203	run_2026_05_30_071639	q3	unique_genes	ERR10619203_tier2_unique_genes.tsv	results/run_2026_05_30_071639/logs/stage12_exploration/unique_genes/ERR10619203_tier2_unique_genes.tsv	docs/case_studies/cross_runs/contrasts/contrast_06_inputs/ERR10619203/sql_outputs/unique_genes/ERR10619203_tier2_unique_genes.tsv	copy	ok	7819	copied without renaming or content modification
ERR10619203	run_2026_05_30_071639	q3	unique_genes	ERR10619203_tier2_unique_genes_mito_epi_overlay.tsv	results/run_2026_05_30_071639/logs/stage12_exploration/unique_genes/ERR10619203_tier2_unique_genes_mito_epi_overlay.tsv	docs/case_studies/cross_runs/contrasts/contrast_06_inputs/ERR10619203/sql_outputs/unique_genes/ERR10619203_tier2_unique_genes_mito_epi_overlay.tsv	copy	ok	46	copied without renaming or content modification
ERR10619203	run_2026_05_30_071639	q3	unique_genes	ERR10619203_tier3_unique_genes.tsv	results/run_2026_05_30_071639/logs/stage12_exploration/unique_genes/ERR10619203_tier3_unique_genes.tsv	docs/case_studies/cross_runs/contrasts/contrast_06_inputs/ERR10619203/sql_outputs/unique_genes/ERR10619203_tier3_unique_genes.tsv	copy	ok	25624	copied without renaming or content modification
ERR10619203	run_2026_05_30_071639	q3	unique_genes	ERR10619203_tier3_unique_genes_mito_epi_overlay.tsv	results/run_2026_05_30_071639/logs/stage12_exploration/unique_genes/ERR10619203_tier3_unique_genes_mito_epi_overlay.tsv	docs/case_studies/cross_runs/contrasts/contrast_06_inputs/ERR10619203/sql_outputs/unique_genes/ERR10619203_tier3_unique_genes_mito_epi_overlay.tsv	copy	ok	935	copied without renaming or content modification
ERR10619207	run_2026_06_01_124134	q3	directory	tables		docs/case_studies/cross_runs/contrasts/contrast_06_inputs/ERR10619207/tables	mkdir	ok	NA	directory ensured
ERR10619207	run_2026_06_01_124134	q3	directory	targeted_semantic_buckets		docs/case_studies/cross_runs/contrasts/contrast_06_inputs/ERR10619207/sql_outputs/targeted_semantic_buckets	mkdir	ok	NA	directory ensured
ERR10619207	run_2026_06_01_124134	q3	directory	unique_genes		docs/case_studies/cross_runs/contrasts/contrast_06_inputs/ERR10619207/sql_outputs/unique_genes	mkdir	ok	NA	directory ensured
ERR10619207	run_2026_06_01_124134	q3	table	candidate_reviewability_readiness.tsv	docs/case_studies/cross_runs/cross_run_tables/candidate_reviewability_readiness.tsv	docs/case_studies/cross_runs/contrasts/contrast_06_inputs/ERR10619207/tables/candidate_reviewability_readiness.tsv	subset	ok	7	subset by exact run_id
ERR10619207	run_2026_06_01_124134	q3	table	priority_tier_summary.tsv	docs/case_studies/cross_runs/cross_run_tables/priority_tier_summary.tsv	docs/case_studies/cross_runs/contrasts/contrast_06_inputs/ERR10619207/tables/priority_tier_summary.tsv	subset	ok	4	subset by exact run_id
ERR10619207	run_2026_06_01_124134	q3	table	substrate_dimension_summary.tsv	docs/case_studies/cross_runs/cross_run_tables/substrate_dimension_summary.tsv	docs/case_studies/cross_runs/contrasts/contrast_06_inputs/ERR10619207/tables/substrate_dimension_summary.tsv	subset	ok	1	subset by exact run_id
ERR10619207	run_2026_06_01_124134	q3	targeted_semantic_buckets	ERR10619207_bucket_1a_validation_routed_epilepsy_mito.tsv	results/run_2026_06_01_124134/logs/stage12_exploration/lane_candidate_slices/ERR10619207_bucket_1a_validation_routed_epilepsy_mito.tsv	docs/case_studies/cross_runs/contrasts/contrast_06_inputs/ERR10619207/sql_outputs/targeted_semantic_buckets/ERR10619207_bucket_1a_validation_routed_epilepsy_mito.tsv	copy	ok	0	copied without renaming or content modification
ERR10619207	run_2026_06_01_124134	q3	targeted_semantic_buckets	ERR10619207_bucket_1b_clinically_contextualized_epilepsy_mito.tsv	results/run_2026_06_01_124134/logs/stage12_exploration/lane_candidate_slices/ERR10619207_bucket_1b_clinically_contextualized_epilepsy_mito.tsv	docs/case_studies/cross_runs/contrasts/contrast_06_inputs/ERR10619207/sql_outputs/targeted_semantic_buckets/ERR10619207_bucket_1b_clinically_contextualized_epilepsy_mito.tsv	copy	ok	6	copied without renaming or content modification
ERR10619207	run_2026_06_01_124134	q3	targeted_semantic_buckets	ERR10619207_bucket_2a_rare_impact_coding_triage_summary.tsv	results/run_2026_06_01_124134/logs/stage12_exploration/lane_candidate_slices/ERR10619207_bucket_2a_rare_impact_coding_triage_summary.tsv	docs/case_studies/cross_runs/contrasts/contrast_06_inputs/ERR10619207/sql_outputs/targeted_semantic_buckets/ERR10619207_bucket_2a_rare_impact_coding_triage_summary.tsv	copy	ok	9	copied without renaming or content modification
ERR10619207	run_2026_06_01_124134	q3	targeted_semantic_buckets	ERR10619207_bucket_2b_rare_impact_tier2.tsv	results/run_2026_06_01_124134/logs/stage12_exploration/lane_candidate_slices/ERR10619207_bucket_2b_rare_impact_tier2.tsv	docs/case_studies/cross_runs/contrasts/contrast_06_inputs/ERR10619207/sql_outputs/targeted_semantic_buckets/ERR10619207_bucket_2b_rare_impact_tier2.tsv	copy	ok	15	copied without renaming or content modification
ERR10619207	run_2026_06_01_124134	q3	targeted_semantic_buckets	ERR10619207_bucket_2c_rare_impact_deprioritized.tsv	results/run_2026_06_01_124134/logs/stage12_exploration/lane_candidate_slices/ERR10619207_bucket_2c_rare_impact_deprioritized.tsv	docs/case_studies/cross_runs/contrasts/contrast_06_inputs/ERR10619207/sql_outputs/targeted_semantic_buckets/ERR10619207_bucket_2c_rare_impact_deprioritized.tsv	copy	ok	15	copied without renaming or content modification
ERR10619207	run_2026_06_01_124134	q3	targeted_semantic_buckets	ERR10619207_bucket_3a_clinvar_supported_deprioritized.tsv	results/run_2026_06_01_124134/logs/stage12_exploration/lane_candidate_slices/ERR10619207_bucket_3a_clinvar_supported_deprioritized.tsv	docs/case_studies/cross_runs/contrasts/contrast_06_inputs/ERR10619207/sql_outputs/targeted_semantic_buckets/ERR10619207_bucket_3a_clinvar_supported_deprioritized.tsv	copy	ok	15	copied without renaming or content modification
ERR10619207	run_2026_06_01_124134	q3	targeted_semantic_buckets	ERR10619207_bucket_3b_tier3_background_summary.tsv	results/run_2026_06_01_124134/logs/stage12_exploration/lane_candidate_slices/ERR10619207_bucket_3b_tier3_background_summary.tsv	docs/case_studies/cross_runs/contrasts/contrast_06_inputs/ERR10619207/sql_outputs/targeted_semantic_buckets/ERR10619207_bucket_3b_tier3_background_summary.tsv	copy	ok	26	copied without renaming or content modification
ERR10619207	run_2026_06_01_124134	q3	targeted_semantic_buckets	ERR10619207_bucket_4a_representative_noncoding_semantic_exemplars.tsv	results/run_2026_06_01_124134/logs/stage12_exploration/lane_candidate_slices/ERR10619207_bucket_4a_representative_noncoding_semantic_exemplars.tsv	docs/case_studies/cross_runs/contrasts/contrast_06_inputs/ERR10619207/sql_outputs/targeted_semantic_buckets/ERR10619207_bucket_4a_representative_noncoding_semantic_exemplars.tsv	copy	ok	15	copied without renaming or content modification
ERR10619207	run_2026_06_01_124134	q3	unique_genes	ERR10619207_tier1_unique_genes.tsv	results/run_2026_06_01_124134/logs/stage12_exploration/unique_genes/ERR10619207_tier1_unique_genes.tsv	docs/case_studies/cross_runs/contrasts/contrast_06_inputs/ERR10619207/sql_outputs/unique_genes/ERR10619207_tier1_unique_genes.tsv	copy	ok	1	copied without renaming or content modification
ERR10619207	run_2026_06_01_124134	q3	unique_genes	ERR10619207_tier1_unique_genes_mito_epi_overlay.tsv	results/run_2026_06_01_124134/logs/stage12_exploration/unique_genes/ERR10619207_tier1_unique_genes_mito_epi_overlay.tsv	docs/case_studies/cross_runs/contrasts/contrast_06_inputs/ERR10619207/sql_outputs/unique_genes/ERR10619207_tier1_unique_genes_mito_epi_overlay.tsv	copy	ok	0	copied without renaming or content modification
ERR10619207	run_2026_06_01_124134	q3	unique_genes	ERR10619207_tier2_unique_genes.tsv	results/run_2026_06_01_124134/logs/stage12_exploration/unique_genes/ERR10619207_tier2_unique_genes.tsv	docs/case_studies/cross_runs/contrasts/contrast_06_inputs/ERR10619207/sql_outputs/unique_genes/ERR10619207_tier2_unique_genes.tsv	copy	ok	7653	copied without renaming or content modification
ERR10619207	run_2026_06_01_124134	q3	unique_genes	ERR10619207_tier2_unique_genes_mito_epi_overlay.tsv	results/run_2026_06_01_124134/logs/stage12_exploration/unique_genes/ERR10619207_tier2_unique_genes_mito_epi_overlay.tsv	docs/case_studies/cross_runs/contrasts/contrast_06_inputs/ERR10619207/sql_outputs/unique_genes/ERR10619207_tier2_unique_genes_mito_epi_overlay.tsv	copy	ok	48	copied without renaming or content modification
