SRA	run_id	depth_category	artifact_group	artifact_name	source_path	destination_path	operation	status	rows_written	notes
ERR10619203	run_2026_05_30_071639	q3	directory	figures		docs/case_studies/cross_runs/contrasts/contrast_05_inputs/ERR10619203/figures	mkdir	ok	NA	directory ensured
ERR10619203	run_2026_05_30_071639	q3	directory	tables		docs/case_studies/cross_runs/contrasts/contrast_05_inputs/ERR10619203/tables	mkdir	ok	NA	directory ensured
ERR10619203	run_2026_05_30_071639	q3	directory	value_counts		docs/case_studies/cross_runs/contrasts/contrast_05_inputs/ERR10619203/sql_outputs/value_counts	mkdir	ok	NA	directory ensured
ERR10619203	run_2026_05_30_071639	q3	directory	targeted_semantic_buckets		docs/case_studies/cross_runs/contrasts/contrast_05_inputs/ERR10619203/sql_outputs/targeted_semantic_buckets	mkdir	ok	NA	directory ensured
ERR10619203	run_2026_05_30_071639	q3	figure	ERR10619203_f4a_clinvar_significance.png	results/run_2026_05_30_071639/figures/ERR10619203_f4a_clinvar_significance.png	docs/case_studies/cross_runs/contrasts/contrast_05_inputs/ERR10619203/figures/ERR10619203_f4a_clinvar_significance.png	copy	ok	NA	copied F4 semantic-composition PNG without modification
ERR10619203	run_2026_05_30_071639	q3	figure	ERR10619203_f4a_consequence.png	results/run_2026_05_30_071639/figures/ERR10619203_f4a_consequence.png	docs/case_studies/cross_runs/contrasts/contrast_05_inputs/ERR10619203/figures/ERR10619203_f4a_consequence.png	copy	ok	NA	copied F4 semantic-composition PNG without modification
ERR10619203	run_2026_05_30_071639	q3	figure	ERR10619203_f4a_pop_freq_bins.png	results/run_2026_05_30_071639/figures/ERR10619203_f4a_pop_freq_bins.png	docs/case_studies/cross_runs/contrasts/contrast_05_inputs/ERR10619203/figures/ERR10619203_f4a_pop_freq_bins.png	copy	ok	NA	copied F4 semantic-composition PNG without modification
ERR10619203	run_2026_05_30_071639	q3	figure	ERR10619203_f4b_clinvar_significance.png	results/run_2026_05_30_071639/figures/ERR10619203_f4b_clinvar_significance.png	docs/case_studies/cross_runs/contrasts/contrast_05_inputs/ERR10619203/figures/ERR10619203_f4b_clinvar_significance.png	copy	ok	NA	copied F4 semantic-composition PNG without modification
ERR10619203	run_2026_05_30_071639	q3	figure	ERR10619203_f4b_consequence.png	results/run_2026_05_30_071639/figures/ERR10619203_f4b_consequence.png	docs/case_studies/cross_runs/contrasts/contrast_05_inputs/ERR10619203/figures/ERR10619203_f4b_consequence.png	copy	ok	NA	copied F4 semantic-composition PNG without modification
ERR10619203	run_2026_05_30_071639	q3	figure	ERR10619203_f4b_pop_freq_bins.png	results/run_2026_05_30_071639/figures/ERR10619203_f4b_pop_freq_bins.png	docs/case_studies/cross_runs/contrasts/contrast_05_inputs/ERR10619203/figures/ERR10619203_f4b_pop_freq_bins.png	copy	ok	NA	copied F4 semantic-composition PNG without modification
ERR10619203	run_2026_05_30_071639	q3	table	clinical_status_summary.tsv	docs/case_studies/cross_runs/cross_run_tables/clinical_status_summary.tsv	docs/case_studies/cross_runs/contrasts/contrast_05_inputs/ERR10619203/tables/clinical_status_summary.tsv	subset	ok	7	subset by exact run_id
ERR10619203	run_2026_05_30_071639	q3	table	variant_consequence_summary.tsv	docs/case_studies/cross_runs/cross_run_tables/variant_consequence_summary.tsv	docs/case_studies/cross_runs/contrasts/contrast_05_inputs/ERR10619203/tables/variant_consequence_summary.tsv	subset	ok	12	subset by exact run_id
ERR10619203	run_2026_05_30_071639	q3	table	coding_noncoding_consequence_summary.tsv	docs/case_studies/cross_runs/cross_run_tables/coding_noncoding_consequence_summary.tsv	docs/case_studies/cross_runs/contrasts/contrast_05_inputs/ERR10619203/tables/coding_noncoding_consequence_summary.tsv	subset	ok	44	subset by exact run_id
ERR10619203	run_2026_05_30_071639	q3	value_counts	value_counts__clinical_evidence.tsv	results/run_2026_05_30_071639/logs/stage12_exploration/value_counts/value_counts__clinical_evidence.tsv	docs/case_studies/cross_runs/contrasts/contrast_05_inputs/ERR10619203/sql_outputs/value_counts/value_counts__clinical_evidence.tsv	copy	ok	7	copied without renaming or content modification
ERR10619203	run_2026_05_30_071639	q3	value_counts	value_counts__clinical_significance.tsv	results/run_2026_05_30_071639/logs/stage12_exploration/value_counts/value_counts__clinical_significance.tsv	docs/case_studies/cross_runs/contrasts/contrast_05_inputs/ERR10619203/sql_outputs/value_counts/value_counts__clinical_significance.tsv	copy	ok	150	copied without renaming or content modification
ERR10619203	run_2026_05_30_071639	q3	value_counts	value_counts__clinical_status.tsv	results/run_2026_05_30_071639/logs/stage12_exploration/value_counts/value_counts__clinical_status.tsv	docs/case_studies/cross_runs/contrasts/contrast_05_inputs/ERR10619203/sql_outputs/value_counts/value_counts__clinical_status.tsv	copy	ok	7	copied without renaming or content modification
