key	value
figure_id	F3B
case_id	HG002
input_f3b_semantic_branching_path	results/run_2026_06_03_010030/metrics/figure_f3b_semantic_branching.tsv
output_prefix	HG002_f3b_semantic_branching
run_id	run_2026_06_03_010030
sample_id	HG002
assay_type	WGS
run_classification	full_pipeline
renderer	generate_case_study_f3b_semantic_branching.py
semantic_scope	semantic evidence preservation topology; not clinical interpretation
primary_message	VAP preserves multiple biologically meaningful evidence classes and does not naïvely discard noncoding evidence.
