sample_id	run_id	priority_tier	count
ERR10619281	run_2026_05_14_083044	tier_1_high_confidence_candidate	1
ERR10619281	run_2026_05_14_083044	tier_2_moderate_candidate	33280
ERR10619281	run_2026_05_14_083044	tier_3_low_support_or_common	636420
ERR10619281	run_2026_05_14_083044	tier_4_uninterpretable_or_qc_limited	141853
ERR10619281	run_2026_05_14_231247	tier_1_high_confidence_candidate	1
ERR10619281	run_2026_05_14_231247	tier_2_moderate_candidate	33280
ERR10619281	run_2026_05_14_231247	tier_3_low_support_or_common	636420
ERR10619281	run_2026_05_14_231247	tier_4_uninterpretable_or_qc_limited	141853
ERR10619300	run_2026_05_14_164444	tier_1_high_confidence_candidate	4
ERR10619300	run_2026_05_14_164444	tier_2_moderate_candidate	27192
ERR10619300	run_2026_05_14_164444	tier_3_low_support_or_common	580937
ERR10619300	run_2026_05_14_164444	tier_4_uninterpretable_or_qc_limited	128335
ERR10619300	run_2026_05_15_063040	tier_1_high_confidence_candidate	4
ERR10619300	run_2026_05_15_063040	tier_2_moderate_candidate	27192
ERR10619300	run_2026_05_15_063040	tier_3_low_support_or_common	580937
ERR10619300	run_2026_05_15_063040	tier_4_uninterpretable_or_qc_limited	128335
HG002	run_2026_04_17_082417	tier_2_moderate_candidate	113363
HG002	run_2026_04_17_082417	tier_3_low_support_or_common	3369755
HG002	run_2026_04_17_082417	tier_4_uninterpretable_or_qc_limited	1153466
HG002	run_2026_05_13_060859	tier_2_moderate_candidate	113363
HG002	run_2026_05_13_060859	tier_3_low_support_or_common	3369755
HG002	run_2026_05_13_060859	tier_4_uninterpretable_or_qc_limited	1153466
ERR10619300	run_2026_05_27_172531	tier_1_high_confidence_candidate	4
ERR10619300	run_2026_05_27_172531	tier_2_moderate_candidate	27192
ERR10619300	run_2026_05_27_172531	tier_3_low_support_or_common	580937
ERR10619300	run_2026_05_27_172531	tier_4_uninterpretable_or_qc_limited	128335
ERR10619281	run_2026_05_27_233524	tier_1_high_confidence_candidate	1
ERR10619281	run_2026_05_27_233524	tier_2_moderate_candidate	33280
ERR10619281	run_2026_05_27_233524	tier_3_low_support_or_common	636420
ERR10619281	run_2026_05_27_233524	tier_4_uninterpretable_or_qc_limited	141853
ERR10619203	run_2026_05_30_071639	tier_1_high_confidence_candidate	2
ERR10619203	run_2026_05_30_071639	tier_2_moderate_candidate	24221
ERR10619203	run_2026_05_30_071639	tier_3_low_support_or_common	537313
ERR10619203	run_2026_05_30_071639	tier_4_uninterpretable_or_qc_limited	113057
ERR10619208	run_2026_05_30_151355	tier_1_high_confidence_candidate	1
ERR10619208	run_2026_05_30_151355	tier_2_moderate_candidate	31139
ERR10619208	run_2026_05_30_151355	tier_3_low_support_or_common	668665
ERR10619208	run_2026_05_30_151355	tier_4_uninterpretable_or_qc_limited	149594
ERR10619212	run_2026_05_30_214724	tier_1_high_confidence_candidate	1
ERR10619212	run_2026_05_30_214724	tier_2_moderate_candidate	31999
ERR10619212	run_2026_05_30_214724	tier_3_low_support_or_common	716408
ERR10619212	run_2026_05_30_214724	tier_4_uninterpretable_or_qc_limited	157109
ERR10619225	run_2026_05_31_091242	tier_1_high_confidence_candidate	2
ERR10619225	run_2026_05_31_091242	tier_2_moderate_candidate	26615
ERR10619225	run_2026_05_31_091242	tier_3_low_support_or_common	603354
ERR10619225	run_2026_05_31_091242	tier_4_uninterpretable_or_qc_limited	127664
ERR10619230	run_2026_06_01_004903	tier_1_high_confidence_candidate	3
ERR10619230	run_2026_06_01_004903	tier_2_moderate_candidate	25280
ERR10619230	run_2026_06_01_004903	tier_3_low_support_or_common	538635
ERR10619230	run_2026_06_01_004903	tier_4_uninterpretable_or_qc_limited	117136
ERR10619207	run_2026_06_01_124134	tier_1_high_confidence_candidate	1
ERR10619207	run_2026_06_01_124134	tier_2_moderate_candidate	23607
ERR10619207	run_2026_06_01_124134	tier_3_low_support_or_common	538990
ERR10619207	run_2026_06_01_124134	tier_4_uninterpretable_or_qc_limited	115781
ERR10619330	run_2026_06_01_203130	tier_1_high_confidence_candidate	2
ERR10619330	run_2026_06_01_203130	tier_2_moderate_candidate	34748
ERR10619330	run_2026_06_01_203130	tier_3_low_support_or_common	751230
ERR10619330	run_2026_06_01_203130	tier_4_uninterpretable_or_qc_limited	177446
ERR10619241	run_2026_06_02_052302	tier_1_high_confidence_candidate	2
ERR10619241	run_2026_06_02_052302	tier_2_moderate_candidate	34365
ERR10619241	run_2026_06_02_052302	tier_3_low_support_or_common	713052
ERR10619241	run_2026_06_02_052302	tier_4_uninterpretable_or_qc_limited	162279
ERR10619285	run_2026_06_02_124300	tier_1_high_confidence_candidate	1
ERR10619285	run_2026_06_02_124300	tier_2_moderate_candidate	29268
ERR10619285	run_2026_06_02_124300	tier_3_low_support_or_common	627751
ERR10619285	run_2026_06_02_124300	tier_4_uninterpretable_or_qc_limited	138039
ERR10619309	run_2026_06_02_181024	tier_1_high_confidence_candidate	2
ERR10619309	run_2026_06_02_181024	tier_2_moderate_candidate	32218
ERR10619309	run_2026_06_02_181024	tier_3_low_support_or_common	687817
ERR10619309	run_2026_06_02_181024	tier_4_uninterpretable_or_qc_limited	159364
HG002	run_2026_06_03_010030	tier_1_high_confidence_candidate	0
HG002	run_2026_06_03_010030	tier_2_moderate_candidate	113363
HG002	run_2026_06_03_010030	tier_3_low_support_or_common	3369755
HG002	run_2026_06_03_010030	tier_4_uninterpretable_or_qc_limited	1153466
